"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","is_validated"
-3.71430883630582,0.524322145088238,-19.2719408154811,8.9932632788255e-61,1.37803773221443e-56,127.042465344699,"CLEC3B","Down","Other"
-4.64416388638027,0.24650106887213,-18.579484827143,1.35066926314444e-57,1.03481525595811e-53,119.975657413922,"DPT","Down","Other"
-4.43010178079283,1.32445612670034,-17.0434153783065,1.30874077504537e-50,6.68461163200675e-47,104.249998422022,"SCARA5","Down","Other"
-2.84784480698287,2.45117278662301,-16.3554000186847,1.61198471845843e-47,6.17511046023464e-44,97.215167201458,"GNG7","Down","Other"
-4.24291406697096,0.968042006418136,-16.1914502745241,8.69603819917052e-47,2.6649878665178e-43,95.4991212798843,"MAMDC2","Down","Other"
-4.24883767001926,0.815387842465826,-16.129338016677,1.64487844094203e-46,4.20074539175912e-43,94.8700939275469,"C16orf89","Down","Other"
-4.62956115304946,0.693614476077061,-15.3094340474396,6.95788914961916e-43,1.52308193485163e-39,86.6278699887764,"PI16","Down","Other"
-3.00924833663115,1.77310771325953,-14.8989998911795,4.32801456936173e-41,8.28977090579122e-38,82.5361965578976,"LYVE1","Down","Other"
-2.94222795115162,2.36808121503704,-14.8206648119676,9.48095953236481e-41,1.61418603238251e-37,81.8026538712836,"FAM107A","Down","Other"
-4.51906762236064,0.467901944893791,-14.4289202951189,4.68518899331403e-39,7.17911509445509e-36,77.9215516572276,"SOSTDC1","Down","Other"
-4.89809241035795,0.621352276892617,-14.3770706286051,7.82930196776347e-39,1.09062176410945e-35,77.4263886626583,"ECRG4","Down","Other"
-2.9343134404338,0.488835798382189,-14.1183077437003,1.00512072674356e-37,1.28345540799097e-34,74.7224090017137,"ADRB2","Down","Other"
-3.05707628576685,0.976836130911516,-14.0759594436596,1.52375974808116e-37,1.73171692981718e-34,74.3959385431661,"GSTM5","Down","Other"
-3.74827593975118,2.50812606094191,-14.0721265547162,1.58219911358353e-37,1.73171692981718e-34,74.4850266666485,"AKR1C2","Down","Other"
-4.00266861772443,0.202337804859363,-13.977836536291,3.98849683701926e-37,4.07438246890974e-34,73.4775756726928,"ESRRG","Down","Other"
-3.18594314618919,4.42830860778827,-13.846906642386,1.43438435951443e-36,1.37369197130248e-33,72.3024284714107,"CFD","Down","Other"
-2.98709436867247,2.36103100839073,-13.7605767575292,3.32700054590184e-36,2.99880172734434e-33,71.4651918512397,"GCNT4","Down","Other"
-4.24664556031262,1.23284001223989,-13.6624856706465,8.63206420715018e-36,7.3482844358979e-33,70.5146968134076,"PRIMA1","Down","Other"
-3.07123657858107,0.282499007682868,-13.5807435973075,1.90656363234118e-35,1.537593396756e-32,69.5523943739063,"ASPA","Down","Other"
-3.49126056311792,0.398651751596295,-13.3890813852649,1.21289767292625e-34,9.29261552112447e-32,67.8178948433549,"MT1M","Down","Other"
-4.29681810102676,1.04868614034404,-13.383324821073,1.28199379116924e-34,9.35428136289825e-32,67.843137587706,"ATP1A2","Down","Other"
-3.61124105631435,0.46990323322744,-13.3016311201876,2.81116169855076e-34,1.95797412304061e-31,66.9983213574464,"TMEM100","Down","Other"
-2.59029656369946,2.52433283989042,-13.2010084704284,7.37354566751651e-34,4.91238435927633e-31,66.1240896880504,"PTN","Down","Other"
-2.40658718581377,2.83675368607331,-13.1925640638845,7.99392175236719e-34,5.09101947212944e-31,66.0479525589216,"MT1X","Down","Other"
-2.64017936952271,1.84595812794718,-13.1885578368569,8.30617286453279e-34,5.09101947212944e-31,65.9807807395167,"P2RY14","Down","Other"
-1.49039490364449,4.00313415813098,-13.1317516685846,1.42931286902919e-33,8.42360042005164e-31,65.4743631937477,"PINK1","Down","Other"
-2.9787158011154,5.53291490973743,-13.0585648674494,2.87193560829838e-33,1.62987664170207e-30,64.7774618380643,"GPX3","Down","Other"
-3.16174869086436,2.10790933745882,-13.0057484755608,4.74691823961784e-33,2.59775100663086e-30,64.2856974294213,"NCAM1","Down","Other"
-1.75410508196806,5.39917224741358,-12.9529010311745,7.84125348947976e-33,4.14315611101029e-30,63.7784944559764,"CITED2","Down","Other"
-4.00628361680798,2.43043907647162,-12.9389155407902,8.95372626968658e-33,4.57326492101358e-30,63.6592295035631,"SFRP1","Down","Other"
-2.71760958850903,0.600861992989096,-12.9119619679033,1.15603372584342e-32,5.7141628326125e-30,63.2781175507385,"C1QL1","Down","Other"
2.68505141467785,7.47636764591103,12.9041480193231,1.24486094776514e-32,5.96093884456412e-30,63.3348923051889,"MKI67","Up","Other"
-3.60324258870511,1.54945158507641,-12.6749454392294,1.08203487251222e-31,5.02424859136507e-29,61.1950730661038,"COL4A6","Down","Other"
4.38845516971333,2.01882578026548,12.6554523673647,1.29943661988068e-31,5.85625509600933e-29,60.3906103711179,"ESM1","Up","Other"
-2.28990779489365,2.40178922967467,-12.644980435375,1.43366471352704e-31,6.2765841158214e-29,60.9154053671377,"ADAMTSL1","Down","Other"
-3.40975148606258,2.37558740935737,-12.6300058998926,1.64993968414665e-31,7.02278493893864e-29,60.7820275637327,"ZBTB16","Down","Other"
-4.32756532511313,2.61140821847111,-12.5540254624414,3.36174942757669e-31,1.39221855347994e-28,60.0711050963154,"ADH1B","Down","Other"
2.76427104440002,11.1733652257701,12.5424784515567,3.7451012132989e-31,1.51016278661524e-28,59.9634784461081,"COL1A1","Up","Other"
5.27069878601563,0.470647974295057,12.4362027231456,1.00959282512457e-30,3.96666432291891e-28,58.3881304015908,"HOXC9","Up","Other"
-3.0583239986847,1.86910762569817,-12.3711673096072,1.84859879062168e-30,7.08151981717399e-28,58.3941947031864,"PPP1R3C","Down","Other"
2.39581808057588,7.61128857290802,12.308488982381,3.30668114390256e-30,1.23581158946388e-27,57.8103002152004,"SOX9","Up","Other"
-1.55060158921919,3.62623268150195,-12.2817359764929,4.23642481673644e-30,1.54558898730601e-27,57.5759160997303,"MIR22HG","Down","Other"
-1.64817779382106,4.54515326449701,-12.2736751184562,4.56457151861698e-30,1.62657975301786e-27,57.4844276719346,"KAT2B","Down","Other"
-2.34677203591435,2.23559454546677,-12.2441710726437,5.99657091059793e-30,2.08830581961573e-27,57.2288180773997,"GPM6B","Down","Other"
-2.92755012598269,1.86272529647449,-12.10732647543,2.11695174856762e-29,7.2084559207337e-27,55.9870337228395,"HLF","Down","Other"
-2.01389138214332,3.61740856332858,-12.0898420129005,2.4859067293206e-29,8.28077148116946e-27,55.8226925377851,"CAB39L","Down","Other"
-3.17913806191815,3.81111957280049,-11.9198343596085,1.17839310653112e-28,3.84181224922903e-26,54.2678591164312,"AKR1C1","Down","Other"
-2.47877333484508,0.955428675447553,-11.8980038452349,1.43787182143664e-28,4.590106233307e-26,54.0378820474621,"ANKRD35","Down","Other"
-2.48440971490713,1.14328704294564,-11.866587134977,1.91408817825606e-28,5.98562717457503e-26,53.7755002122184,"S100B","Down","Other"
-3.12453123305897,3.53727979750929,-11.8052114979614,3.34346384757888e-28,1.02463793072902e-25,53.2402792487295,"HBB","Down","Other"
-3.86379615688628,0.501123525837125,-11.7930338991175,3.73406724923326e-28,1.12190416588238e-25,53.1406115925287,"CASQ2","Down","Other"
1.58929366581444,6.7099518794904,11.7840228551448,4.05203822465851e-28,1.19402657147005e-25,53.0611593084999,"RUNX1","Up","Other"
-2.58182174721608,1.51868991982943,-11.7777515473521,4.28909653428621e-28,1.24003445650694e-25,53.0083477422246,"GHR","Down","Other"
